Nom,Description,Composition,Conseils,Image,Url
GSIL collagène goût pêche 222g,"AC1020_000
Le Collagène en poudre GSIL® est recommandé pour :
- Améliorer la mobilité et les performances physiques*.
- Préserver le cartilage et les os**.
Il combine du Collagène Marin breveté aux propriétés cliniquement prouvées avec des ingrédients soigneusement sélectionnés pour soutenir vos articulations et améliorer vos performances physiques. Une version exclusive au réseau Biocoop!
*Le collagène marin Naticol® améliore la mobilité, le bien-être articulaire et la performance physique. (1)
**La Vitamine C contribue à la fonction normale des cartilages et des os et permet de réduire la fatigue.
Avec son délicieux goût de pêche, vous pourrez parfaitement l'inclure dans votre routine quotidienne. Maximisez votre confort articulaire et vos performances physiques avec le collagène GSIL®.
Poids moléculaire du collagène Naticol® est de 4000 daltons. Ce faible poids moléculaire permet aux peptides d'être bien absorbés et d'atteindre plus facilement leur cible.
(1) Etude clinique réalisée sur 30 patients âgés en moyenne de 61 ans sur une prise de 10g par jour, pendant 8 semaines. Etude sur performance physique de courte durée.
1 pot = programme de 20j (à raison de 2 cuillères à café / jour)
Dose journalière pour 2 cuillères à café :
- Collagène Naticol® type I : 10 000 mg
- Poudre de jus de fruit d'acérola : 78 mg
dont vitamine C : 13 mg -16% AR) Protéines : 9.5 mg
- Extrait sec de partie aériennes d'ortie : 535 mg
dont silice : 10.7 mg dont silicium : 5 mg","Collagène marin Naticol® (peptides de collagène de type I et III) (poisson), extrait d'ortie (Urtica dioica) titré à 2% de silice, arôme naturel de pêche, acidifiant : acide citrique, poudre de jus de fruit d'acérola (Malpighia glabra) titrée à 17% en vitamine C.

Poissons et produits à base de poissons
Traces de :
Poisson.","Prendre 2 cuillères à café par jour dans 20 cl d'eau ou de lait chaud ou froid. Bien mélanger.
Conditions de conservation
Conserver à l'abri de la chaleur, de la lumière et de l'humidité.
Durée de cure
20 jours
Posologie
2 cuillères à café par jour.

Utiliser dans le cadre d'une alimentation variée, équilibrée et d'un mode de vie sain. Ne pas dépasser la dose journalière indiquée. Tenir hors de portée des enfants. Déconseillé en cas d'insuffisance cardiaque ou rénale œdémateuses. Demander l'avis de votre médecin et /ou pharmacien
Contre indication
Déconseillé en cas d'insuffisance cardiaque ou rénale œdémateuses. Déconseillé aux enfants de moins de 12 ans. Déconseillé aux femmes enceintes ou allaitantes.
Déconseillé aux femmes enceintes","https://www.biocoop.fr/media/catalog/product/1/0/1090762408-3760177504004-aquasilice-gsil_collagene_gout_peche_300g-ac1020.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/gsil-collagene-gout-peche-222g-ac1020-000.html
Spiruline - 300 comprimés,"FV1004_000
La boite de 300 comprimés de spiruline est le format le plus adapté pour une cure individuelle.La spiruline est une algue aux propriétés nutritionnelles reconnues adaptée pour garder ou retrouver votre forme et votre vitalité au quotidien. Cette spiruline a bénéficié de conditions climatiques et environnementales idéales.La spiruline Flamant Vert est reconnue pour sa qualité : cultivée avec un ensoleillement généreux, régulier et naturel, elle bénéficie d'une eau pure et d'une protection totale contre les polluants. De plus, la technique de séchage utilisée permet de préserver les nutriments de manière optimale.Comprimé de 500mg 100% spiruline. Prendre avant ou au cours des repas jusqu'à 6 comprimés par jour avec un peu d'eau ou de jus de fruitOrigine Equateur","Spiruline 100%.

Non applicable
Traces de :
Néant.","Avaler avec un liquide (eau, jus de fruit).
Conditions de conservation
Tenir à l'abri de la chaleur et de l'humidité.
Température de conservation
40.0°C
Durée de cure
60 jours
Posologie
Jusqu'à 6 comprimés par jour.

Les compléments alimentaires doivent être utilisés dans un cadre d'un mode de vie sain et ne pas être utilisés comme substituts d'un régime alimentaire varié et équilibré. Ne pas dépasser la dose journalière conseillée. Tenir hors de portée des enfants.
Déconseillé aux femmes enceintes","https://www.biocoop.fr/media/catalog/product/2/2/2202557339-3476500403004-flamant_vert-spiruline_300_comprimes-fv1004.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/spiruline-300-comprimes-fv1004-000.html
Fleur de Bach Eau de Roche N°27 15ml,"LD2070_000
Pour les personnes très strictes, au caractère rigide et rigoureux, qui se privent et se répriment.
Titre alcoometrique
20 %","Eau de source, brandy*, infusion solaire de fleurs * (0,5%) - Alcool 20% vol.

Non applicable
Traces de :
Néant","Conditions de conservation
Les élixirs floraux sont conditionnés dans des flacons de verre ambrés, avec un compte gouttes. Les élixirs floraux doivent être conservés dans leur conditionnement d'origine, dans un local frais et sec, à l'abri de la lumière et toute source de chaleur et d'ignition.
Posologie
3 à 4 gouttes, 3 à 4 fois par jour, par voie orale.

Ne pas dépasser la dose journalière recommandée. Ce complément alimentaire ne peut pas se substituer à un régime alimentaire varié.","https://www.biocoop.fr/media/catalog/product/1/5/1564444473-3760102775745-deva-fleur_de_bach_eau_de_roche_n27_15ml-ld2070.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/fleur-de-bach-eau-de-roche-n-27-15ml-ld2070-000.html
Thym feuille 500g,"AS7021_000
Cocorico, des plantes françaises ! Habituellement cultivées à travers toute l'Europe, les plantes d'herboristerie parcourent parfois des milliers de kilomètres avant de finir dans nos tasses. Chez Biocoop, on pense relocalisation. C'est pourquoi nous avons fait le choix de soutenir une filière de plantes 100% françaises, en travaillant uniquement avec des producteurs de nos régions.","Feuilles de thym* 100 % (France)*issu de l'agriculture biologique

Non applicable
Traces de :
Néant","Conditions de conservation
Après ouverture à consommer dans les 6 mois
Température de conservation
25.0°C

Néant.","https://www.biocoop.fr/media/catalog/product/3/0/3009562245-3760121217516-biocoop-thym_officinal_feuille-as7021.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/thym-feuille-500g-as7021-000.html
Diffuseur Provencal + HE orange douce,"FL5075_000
Diffuseur Provencal + HE orange douce
Largeur (cm)
9 cm
Longueur (cm)
4 cm
Hauteur (cm)
15 cm","1 diffuseur provençal et une huile essentielle d'orange douce.

Non applicable
Traces de :
Néant.",Néant.,"https://www.biocoop.fr/media/catalog/product/6/6/666937693-3516170001633--diffuseur_provencal_he_orange_douce-fl5075.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/diffuseur-provencal-he-orange-douce-fl5075-000.html
Infusion peau saine Bio Equitable en France 50g,"AS7031_000
Mélange de plantes 100% françaises, composé de reine des prés, de bardane, de mauve, de bruyère cendrée, de frêne et de verveine. La reine des prés soutient la santé de la peau. La bardane aide à maintenir une peau saine.Cocorico, des plantes françaises !Habituellement cultivées à travers toute l'Europe, les plantes d'herboristerie parcourent parfois des milliers de kilomètres avant de finir dans nos tasses. Chez Biocoop, on pense relocalisation. C'est pourquoi nous avons fait le choix de soutenir une filière de plantes 100% françaises, en travaillant uniquement avec des producteurs de nos régions. En l'occurence, les  plantes de ce mélange sont cueillies par notre partenaire, la coopérative de cueilleurs SICARAPPAM, labellisé Bio Equitable en France !","Reine des prés sommité fleurie coupée 20 %Bruyère (Callune) fleur et feuille 20 %Frêne foliole coupée 25 %Mauve sommité fleurie coupée 10 %Verveine feuille coupée 10 %Bardane racine coupée 15 %

Non applicable
Traces de :
Néant","En infusion. Bien Infuser le sachet avant utilisation. Verser 3 cuillères à café de l'Infusion dans 25cl d'eau bouillante, puis laisser infuser 5 à 10 minutes. 2 à 3 tasses par jour.
Conditions de conservation
À conserver à température ambiante, à l'abri de l'humidité et de la lumière.

Ne pas consommer la boisson plus de 24h après infusion. En cas de grossesse, d'allaitement, de prise de traitement médicamenteux et pour les enfants de moins de 6 ans, demandez un avis médical avant consommation. Il est important d'avoir une alimentation variée et équilibrée et un mode de vie sain.","https://www.biocoop.fr/media/catalog/product/1/5/1589631132-3760121218575-biocoop-infusion_peau_saine_50g-as7031.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/infusion-peau-saine-bio-equitable-en-france-50g-as7031-000.html
Tilleul bractées Bio Equitable en France 20g,"AS7027_000
Bractées de tilleul 100% françaises. Le tilleul aide à maintenir une relaxation optimale et un sommeil sain.Cocorico, des plantes françaises !Habituellement cultivées à travers toute l'Europe, les plantes d'herboristerie parcourent parfois des milliers de kilomètres avant de finir dans nos tasses. Chez Biocoop, on pense relocalisation. C'est pourquoi nous avons fait le choix de soutenir une filière de plantes 100% françaises, en travaillant uniquement avec des producteurs de nos régions. En l'occurence, nos bractées de tilleul sont cueillies à la main par notre partenaire, la coopérative de cueilleurs SICARAPPAM, labellisé Bio Equitable en France !","Tilleul bractée* 100 % (France)*Issu de l'agriculture biologique

Non applicable
Traces de :
Néant","En infusion. Bien mélanger le sachet avant utilisation. Verser 3 cuillères à café du mélange dans 25cl d'eau bouillante, puis laisser infuser 5 à 10 minutes. 2 à 3 tasses par jour.
Conditions de conservation
À conserver à température ambiante, à l'abri de l'humidité et de la lumière.  PAO 1095JRS
Température de conservation
25.0°C

Néant.","https://www.biocoop.fr/media/catalog/product/2/0/2079270525-3760121218711-biocoop-tilleul_bractees_20g-as7027.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/tilleul-bractees-bio-equitable-en-france-20g-as7027-000.html
"Zinc comprimé à avaler (90) 40,5g","BI0004_000
Le Zinc contribue à un large éventail de fonctions biologiques. Ce produit a été formulé pour les personnes ayant un besoin en zinc, et les personnes ayant un régime végétarien/végétalien.Ce complément alimentaire naturel, biologique et vegan permet une complémentation en Zinc durant 45 jours.Le tout dans un superbe pilulier de 90 comprimés réutilisable en carton recyclé au couvercle de liège renouvelable et durable.Le zinc contribue : - à la synthèse normale de l'ADN,- au métabolisme acido-basique normal (régulation de l'acidité du sang),- au métabolisme glucidique normal,- aux fonctions cognitives normales,- à une fertilité et une reproduction normales,- au métabolisme normal des macronutriments (glucides, protéines et lipides),- au métabolisme normal des acides gras,- au métabolisme normal de la vitamine A,- à la synthèse protéique normale,- au maintien d'os, de cheveux et d'ongles normaux,- au maintien d'une peau normale,- à des niveaux normaux de testostérone dans le sang,- au maintien d'une vision normale,- au fonctionnement normal du système immunitaire,- à la protection des cellules contre le stress oxydatif.Comment bien se complémenter en Zinc ?Les recommandations du comité consultatif scientifique sur la nutrition pour le Zinc est de 10 mg/jour pour les adultes.Deux comprimés de ZZZinc BIO apportent donc en moyenne 7,5 mg de zinc soit 75 % des apports journaliers pour les adultes et 100% des apports journaliers pour les enfants.Pour une meilleure assimilation, il est préférable d'avaler vos comprimés de ZZZinc Bio avec un jus de fruit. Surtout ne vous faites pas avoir en suçant, croquant ou gardant le comprimé dans la bouche. Le comprimé n'est pas aromatisé et sans sucre. Attention, il est préférable de ne pas se complémenter en même pas avec du Fer ou du Cuivre, il y aurait une compétition lors de l'absorption ce qui annulerait les effets bénéfiques. Privilégier donc une seule prise et sans autres compléments.","Gomme d'acacia bio : agent de charge,extrait** de BASILIC BIO Feuie - Ocinum tenuiflorum,SHIITAKE BIO - Lentinus edodeset pleurote BIO - Pleurotus ostreatus,Silicate de magnésium : agent de charge.** 50% de basilic et 25% de chaque champignon

Non applicable
Traces de :
Néant","Prendre 2 comprimés par jour à avaler de préférence le matin avec un verre d'eau
Conditions de conservation
A conserver à une température <25°C et à l'abri de l'humidité

Ne pas dépasser la dose journalière indiquée
Ne se substitue pas à un régime alimentaire varié et équilibré ni à un mode de vie sain. Tenir hors de portée des jeunes enfants.","https://www.biocoop.fr/media/catalog/product/4/2/4208612500-3770013238109-les_bio_freres-zinc_comprime_a_croquer_90_40_5g-bi0004.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/zinc-comprime-a-avaler-90-40-5g-bi0004-000.html
Complexe 4+ Beauté peau ampoule 20x15ml,"FN0032_000
Le complexe est  composé d'extraits d'aloe, pissenlit, ortie, pensée sauvage, primevère (Aloe vera, taraxacum officinale, Urtica dioica,Viola tricolor, Primula veris). Extraits et complexe fabriqués et conditionnés dans notre Laboratoire de Coutras.Il aide à maintenir la peau saine. Il associe extraits d'aloe, pissenlit, ortie, pensée sauvage, primevère sous forme d'extraits fluides aqueux.La pensée sauvage aide à maintenir la peau saineDéconseillé aux enfants de moins de 12 ans, aux femmes enceintes et allaitantes.","Aloe bio 500mg,pissenlit bio 500mg,ortie bio 500mg,pensée sauvage bio 500mg,primevère bio 20mg.

Non applicable
Traces de :
Néant.","Prendre jusqu'à 2 ampoules par jour matin et soir avant le repas. Il est conseillé de diluer l'ampoule dans un verre d'eau. Ce produit est naturel, un léger dépôt peut être présent dans le produit. Agiter l'ampoule avant l'utilisation.
Durée de cure
20 jours
Posologie
1 ampoule par jour.

Usage oral uniquement, ne convient pas en injection. La prise au-delà de deux semaines sans interruption est déconseillée. Ne pas dépasser la dose journalière recommandée. Ne se substitue pas à un régime alimentaire équilibré et varié et à un mode de vie sain. Tenir hors de portée des Enfants.
Contre indication
Déconseillé aux enfants de moins de 12 ans, aux femmes enceintes et allaitantes.
Déconseillé aux femmes enceintes","https://www.biocoop.fr/media/catalog/product/1/8/1848488771-3760265302000-flora_natura-complexe_4_beaute_peau_ampoule_20x15ml-fn0032.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/complexe-4-beaute-peau-ampoule-20x15ml-fn0032-000.html
Cassis feuille 40g,"AR0218_000
Ribes Nigrum. Origine FRANCE, POLOGNE. Usage recommandé aux personnes souffrant de rhumatismes, d'arthrose, de douleurs articulaires, de rétention d'urine, d'oedème, de troubles de la vessie. Les autres propriétés : coliques, diarrhées, migraines, fièvres…","Feuilles de Cassis (100%)

Non applicable
Traces de :
Néant","1g (2 cuil. à soupe) par tasse en infusion
Conditions de conservation
Date courte : 20 mois. Conserver à moins de 25°c dans des locaux propres, secs et à l'abri de la lumière.
Température de conservation
25.0°C

1g (2 cuil. à soupe) par tasse en infusion","https://www.biocoop.fr/media/catalog/product/1/9/1945501392-3417960000112-l_herbier_de_france-cassis_feuille_40g-ar0218.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/cassis-feuille-40g-ar0218-000.html
